0,0,0,0,0,0,0,0,0,0
-16.4912,-28.1568,-19.9444,-7.9376,-7.2304,-3.658,-5.7032,-12.9384,-12.2592,-9.2668
3.242,-19.2688,-3.4576,-6.6356,-5.8684,-14.168,-12.944,-10.3288,-20.2376,-6.1104
-13.926,-3.178,-11.9484,8.5088,-7.8608,-3.4456,-1.7056,-21.422,-5.2992,-4.5748
-6.96,-1.9264,-0.1236,-0.5608,-5.6784,-1.3116,-7.2568,-11.5968,0.0272,-8.6772
-3.2448,-3.7808,0.4124,1.1492,-8.5416,-7.694,1.7756,-6.268,-1.3068,-0.008
-5.0724,-2.354,-3.4984,-2.0612,1.898,6.8956,-7.4216,2.5992,-0.4704,1.6444
13.0536,5.5508,5.9644,0.2344,4.5472,6.8108,4.0636,-0.946,5.4288,8.3836
-3.2176,0.9652,-1.0724,0.1708,-1.1676,-2.7888,0.8352,-1.5736,-3.5808,2.8664
1.0848,-5.2988,-0.3444,4.0508,-0.356,2.5644,-2.4612,-0.1772,-0.2384,2.792
0.096,-4.3136,4.8272,0.1408,-7.0672,5.4004,5.0276,-0.2536,-0.4216,4.9352